id,name,diameter,weight,red,green,blue
184,orange,6.18,119.31,138,79,10
185,orange,6.18,119.32,150,77,4
186,orange,6.18,119.34,160,67,2
187,orange,6.19,119.35,162,84,2
188,orange,6.19,119.38,154,59,4
189,orange,6.2,119.41,152,85,14
190,orange,6.2,119.45,166,89,5
191,orange,6.2,119.48,146,79,2
192,orange,6.21,119.52,142,68,13
193,orange,6.21,119.63,160,69,4
194,orange,6.22,119.76,166,96,2
195,orange,6.22,119.8,172,85,16
196,orange,6.22,119.9,145,99,8
197,orange,6.23,119.97,167,78,2
198,orange,6.23,119.98,145,69,12
199,orange,6.23,120.03,162,75,2
200,orange,6.23,120.03,165,90,2
201,orange,6.24,120.04,138,81,4
202,orange,6.24,120.04,145,80,17
203,orange,6.25,120.06,153,93,2
204,orange,6.25,120.09,169,86,2
205,orange,6.25,120.1,149,81,2
206,orange,6.25,120.11,164,86,5
207,orange,6.26,120.14,149,61,2
208,orange,6.26,120.16,167,96,16
209,orange,6.27,120.26,168,87,11
210,orange,6.27,120.29,147,79,2
211,orange,6.27,120.47,169,66,2
212,orange,6.27,120.5,152,81,2
213,orange,6.27,120.51,165,65,2
214,orange,6.28,120.63,153,87,18
215,orange,6.28,120.65,144,81,19
216,orange,6.28,120.66,152,80,2
217,orange,6.28,120.66,146,92,22
218,orange,6.28,120.71,159,84,2
219,orange,6.29,120.74,153,63,2
220,orange,6.29,120.78,156,82,5
221,orange,6.29,120.79,156,81,13
222,orange,6.3,120.93,134,76,17
223,orange,6.3,120.94,153,98,2
224,orange,6.3,120.95,150,67,2
225,orange,6.31,121.04,140,67,14
226,orange,6.31,121.04,145,88,10
227,orange,6.32,121.04,166,84,9
228,orange,6.32,121.06,152,72,5
229,orange,6.32,121.18,166,96,3
230,orange,6.32,121.27,167,90,6
231,orange,6.32,121.27,165,92,20
232,orange,6.33,121.33,154,86,2
233,orange,6.33,121.36,163,93,10
234,orange,6.33,121.36,161,85,2
235,orange,6.33,121.43,144,71,2
236,orange,6.33,121.46,143,85,9
237,orange,6.34,121.49,171,95,28
238,orange,6.35,121.51,160,88,8
239,orange,6.37,121.51,151,87,2
240,orange,6.37,121.53,135,72,2
241,orange,6.37,121.53,157,73,2
242,orange,6.38,121.55,156,80,17
243,orange,6.38,121.59,156,95,8
244,orange,6.38,121.61,158,83,19
245,orange,6.38,121.64,151,83,12
246,orange,6.38,121.7,155,73,10
247,orange,6.39,121.72,163,74,2
248,orange,6.4,121.73,142,94,2
249,orange,6.4,121.74,146,78,10
250,orange,6.4,121.76,185,80,8
251,orange,6.4,121.86,161,89,2
252,orange,6.4,121.88,156,79,10
253,orange,6.41,121.94,180,58,24
254,orange,6.41,121.95,168,86,2
255,orange,6.41,121.96,161,87,2
256,orange,6.41,122.03,160,91,2
257,orange,6.42,122.05,156,69,9
258,orange,6.42,122.08,155,72,2
259,orange,6.42,122.09,172,95,2
260,orange,6.42,122.14,140,90,14
261,orange,6.42,122.2,155,83,17
262,orange,6.43,122.21,169,77,2
263,orange,6.43,122.27,146,98,5
264,orange,6.43,122.32,178,80,8
265,orange,6.43,122.35,159,84,2
266,orange,6.44,122.36,171,92,2
267,orange,6.44,122.38,170,68,2
268,orange,6.44,122.41,149,84,2
269,orange,6.44,122.44,174,82,6
270,orange,6.44,122.45,151,76,2
271,orange,6.44,122.53,162,80,12
272,orange,6.45,122.64,156,74,15
273,orange,6.45,122.66,146,89,8
274,orange,6.46,122.68,152,85,2
275,orange,6.47,122.78,144,83,5
276,orange,6.47,122.79,164,61,2
277,orange,6.47,122.85,145,73,2
278,orange,6.48,122.9,156,83,24
279,orange,6.48,122.94,177,83,3
280,orange,6.49,122.94,146,82,9
281,orange,6.49,122.95,152,95,7
282,orange,6.49,123.07,146,91,2
283,orange,6.49,123.08,136,96,12
284,orange,6.5,123.13,150,81,14
285,orange,6.5,123.15,161,86,2
286,orange,6.5,123.17,149,87,14
287,orange,6.5,123.18,159,108,12
288,orange,6.5,123.19,165,72,14
289,orange,6.5,123.19,167,79,15
290,orange,6.51,123.21,153,78,10
291,orange,6.51,123.23,156,91,12
292,orange,6.52,123.32,164,76,6
293,orange,6.52,123.33,161,77,2
294,orange,6.52,123.35,166,77,2
295,orange,6.52,123.43,142,98,2
296,orange,6.53,123.44,166,82,9
297,orange,6.53,123.47,144,75,12
298,orange,6.53,123.5,178,94,2
299,orange,6.54,123.52,158,71,2
300,orange,6.54,123.52,144,83,25
301,orange,6.54,123.54,148,68,2
302,orange,6.54,123.54,144,81,2
303,orange,6.54,123.57,183,84,2
304,orange,6.54,123.58,177,64,2
305,orange,6.55,123.68,145,100,9
306,orange,6.55,123.7,148,85,14
307,orange,6.55,123.71,161,76,2
308,orange,6.55,123.73,163,92,2
309,orange,6.55,123.73,143,87,8
310,orange,6.56,123.79,158,74,8
311,orange,6.56,123.85,142,99,8
312,orange,6.56,123.94,154,74,2
313,orange,6.57,123.95,170,83,4
314,orange,6.57,123.99,154,81,4
315,orange,6.57,123.99,158,71,2
316,orange,6.57,124.01,172,86,14
317,orange,6.57,124.03,152,78,17
318,orange,6.57,124.04,144,86,7
319,orange,6.57,124.05,159,72,2
320,orange,6.58,124.05,152,86,6
321,orange,6.58,124.08,143,85,11
322,orange,6.58,124.17,165,107,18
323,orange,6.58,124.18,160,76,2
324,orange,6.58,124.25,176,106,6
325,orange,6.58,124.28,154,62,2
326,orange,6.58,124.3,148,75,8
327,orange,6.58,124.31,161,84,4
328,orange,6.59,124.42,151,80,7
329,orange,6.59,124.42,160,84,13
330,orange,6.59,124.46,159,87,2
331,orange,6.59,124.52,169,78,26
332,orange,6.59,124.72,149,74,11
333,orange,6.59,124.75,162,96,3
334,orange,6.59,124.76,151,83,6
335,orange,6.6,124.78,142,80,2
336,orange,6.6,124.81,160,71,8
337,orange,6.6,124.87,157,76,9
338,orange,6.6,124.88,167,88,13
339,orange,6.6,124.88,158,80,13
340,orange,6.6,124.91,157,97,2
341,orange,6.6,124.95,137,80,18
342,orange,6.61,124.95,151,82,12
343,orange,6.61,124.97,143,72,8
344,orange,6.61,124.98,154,79,8
345,orange,6.61,125.03,164,71,7
346,orange,6.61,125.07,164,74,11
347,orange,6.61,125.07,147,80,9
348,orange,6.62,125.08,151,70,11
349,orange,6.62,125.08,154,85,28
350,orange,6.62,125.11,158,90,14
351,orange,6.62,125.11,151,85,22
352,orange,6.62,125.12,142,65,2
353,orange,6.62,125.16,158,92,2
354,orange,6.62,125.16,157,103,2
355,orange,6.62,125.22,152,75,8
356,orange,6.62,125.22,167,102,14
357,orange,6.62,125.22,153,74,5
358,orange,6.62,125.23,154,77,2
359,orange,6.63,125.24,143,82,3
360,orange,6.63,125.25,153,90,2
361,orange,6.63,125.38,144,71,6
362,orange,6.64,125.42,157,83,9
363,orange,6.64,125.42,161,83,13
364,orange,6.64,125.45,165,77,2
365,orange,6.64,125.46,153,93,2
366,orange,6.64,125.47,171,58,2
367,orange,6.64,125.49,137,83,2
368,orange,6.64,125.57,170,83,3
369,orange,6.65,125.61,167,92,4
370,orange,6.65,125.64,170,66,2
371,orange,6.65,125.64,154,71,18
372,orange,6.65,125.66,150,65,2
373,orange,6.65,125.68,148,78,15
374,orange,6.65,125.71,143,85,17
375,orange,6.65,125.74,159,78,2
376,orange,6.65,125.75,150,76,25
377,orange,6.65,125.78,167,84,13
378,orange,6.66,125.79,153,72,13
379,orange,6.66,125.81,159,76,8
380,orange,6.67,125.84,167,95,2
381,orange,6.67,125.88,155,93,2
382,orange,6.67,125.89,135,82,2
383,orange,6.67,125.9,146,60,6
384,orange,6.67,125.92,145,63,2
385,orange,6.67,125.94,149,77,4
386,orange,6.68,125.95,159,67,13
387,orange,6.68,125.96,147,88,17
388,orange,6.68,125.97,163,80,2
389,orange,6.68,126.03,156,95,6
390,orange,6.69,126.08,135,96,20
391,orange,6.69,126.18,159,62,6
392,orange,6.69,126.22,165,65,19
393,orange,6.69,126.24,163,85,4
394,orange,6.69,126.27,160,80,17
395,orange,6.69,126.29,144,71,10
396,orange,6.69,126.31,164,86,2
397,orange,6.7,126.41,148,79,2
398,orange,6.7,126.44,144,89,2
399,orange,6.7,126.45,140,78,15
400,orange,6.7,126.5,168,80,3
401,orange,6.7,126.51,171,81,13
402,orange,6.7,126.54,151,65,17
403,orange,6.71,126.54,153,78,10
404,orange,6.71,126.55,147,73,19
405,orange,6.71,126.58,145,87,2
406,orange,6.71,126.59,162,63,9
407,orange,6.71,126.62,148,81,2
408,orange,6.71,126.62,163,75,9
409,orange,6.71,126.65,170,87,2
410,orange,6.72,126.66,162,85,2
411,orange,6.72,126.69,168,83,2
412,orange,6.72,126.7,146,89,9
413,orange,6.72,126.74,152,93,14
414,orange,6.73,126.75,147,84,2
415,orange,6.73,126.78,154,77,16
416,orange,6.73,126.8,162,74,2
417,orange,6.73,126.93,151,89,2
418,orange,6.73,126.93,151,102,2
419,orange,6.73,126.93,160,79,10
420,orange,6.74,126.94,158,81,2
421,orange,6.74,126.94,149,86,10
422,orange,6.74,126.99,153,100,2
423,orange,6.74,127.01,147,77,2
424,orange,6.75,127.01,169,89,14
425,orange,6.75,127.04,137,82,18
426,orange,6.75,127.07,159,86,3
427,orange,6.76,127.16,165,97,8
428,orange,6.76,127.17,152,94,4
429,orange,6.76,127.24,164,78,3
430,orange,6.77,127.26,166,89,16
431,orange,6.77,127.28,171,77,11
432,orange,6.77,127.28,164,92,23
433,orange,6.77,127.3,161,72,12
434,orange,6.77,127.32,140,99,2
435,orange,6.77,127.34,154,73,2
436,orange,6.77,127.34,160,68,6
437,orange,6.78,127.35,149,79,20
438,orange,6.78,127.38,152,87,15
439,orange,6.78,127.41,162,70,23
440,orange,6.78,127.42,171,93,4
441,orange,6.78,127.46,153,111,10
442,orange,6.79,127.46,144,79,2
443,orange,6.79,127.47,156,90,3
444,orange,6.79,127.47,163,74,27
445,orange,6.79,127.48,137,78,23
446,orange,6.8,127.51,161,87,4
447,orange,6.8,127.55,150,102,2
448,orange,6.8,127.55,171,81,10
449,orange,6.8,127.57,172,83,2
450,orange,6.8,127.58,157,74,2
451,orange,6.8,127.59,155,67,11
452,orange,6.8,127.64,141,81,28
453,orange,6.8,127.67,161,73,4
454,orange,6.8,127.67,163,70,2
455,orange,6.81,127.67,155,78,6
456,orange,6.81,127.7,156,82,9
457,orange,6.82,127.75,163,67,5
458,orange,6.82,127.77,164,92,7
459,orange,6.82,127.82,166,90,13
460,orange,6.82,127.94,164,88,8
461,orange,6.82,127.95,170,82,2
462,orange,6.82,127.95,149,76,6
463,orange,6.82,127.95,169,75,14
464,orange,6.82,127.99,151,89,3
465,orange,6.82,128,145,72,10
466,orange,6.82,128.08,159,93,3
467,orange,6.82,128.08,160,87,2
468,orange,6.82,128.08,150,78,5
469,orange,6.83,128.22,169,84,2
470,orange,6.83,128.24,160,87,2
471,orange,6.83,128.24,156,86,2
472,orange,6.83,128.27,154,91,15
473,orange,6.84,128.3,154,80,17
474,orange,6.84,128.31,168,92,8
475,orange,6.84,128.31,132,81,6
476,orange,6.84,128.33,139,88,2
477,orange,6.84,128.33,149,89,10
478,orange,6.84,128.35,166,72,3
479,orange,6.84,128.37,158,96,2
480,orange,6.84,128.37,156,65,7
481,orange,6.85,128.41,159,80,13
482,orange,6.85,128.49,167,84,10
483,orange,6.85,128.52,155,81,7
484,orange,6.85,128.54,180,105,11
485,orange,6.85,128.56,147,78,2
486,orange,6.85,128.67,155,95,2
487,orange,6.85,128.68,165,86,2
488,orange,6.85,128.7,167,72,5
489,orange,6.86,128.8,152,90,5
490,orange,6.86,128.8,124,77,15
491,orange,6.86,128.81,153,75,2
492,orange,6.86,128.84,154,91,22
493,orange,6.86,128.85,174,81,21
494,orange,6.87,128.89,135,87,7
495,orange,6.87,128.94,168,86,19
496,orange,6.87,129,149,82,2
497,orange,6.87,129.17,153,77,21
498,orange,6.87,129.17,156,70,2
499,orange,6.87,129.18,163,89,7
500,orange,6.87,129.19,162,93,2
501,orange,6.88,129.25,152,83,6
502,orange,6.88,129.3,142,101,2
503,orange,6.88,129.37,152,77,2
504,orange,6.88,129.38,149,91,2
505,orange,6.88,129.42,154,83,8
506,orange,6.88,129.43,154,69,2
507,orange,6.88,129.44,127,90,11
508,orange,6.88,129.46,166,84,2
509,orange,6.89,129.52,143,78,4
510,orange,6.89,129.57,151,71,2
511,orange,6.89,129.58,153,70,9
512,orange,6.89,129.59,137,77,2
513,orange,6.89,129.6,152,86,2
514,orange,6.89,129.68,158,84,2
515,orange,6.89,129.71,155,95,23
516,orange,6.9,129.72,159,71,3
517,orange,6.9,129.73,158,91,8
518,orange,6.9,129.75,151,85,2
519,orange,6.9,129.75,149,80,5
520,orange,6.9,129.78,161,90,16
521,orange,6.9,129.79,144,73,2
522,orange,6.9,129.8,149,83,4
523,orange,6.9,129.81,169,87,2
524,orange,6.9,129.91,155,77,32
525,orange,6.9,129.92,151,105,7
526,orange,6.9,129.94,151,75,28
527,orange,6.91,129.94,159,82,10
528,orange,6.91,129.94,145,83,24
529,orange,6.91,129.99,160,76,2
530,orange,6.91,130.02,156,101,24
531,orange,6.91,130.02,167,92,2
532,orange,6.91,130.13,156,91,22
533,orange,6.91,130.13,157,74,16
534,orange,6.91,130.13,145,88,12
535,orange,6.91,130.14,159,85,7
536,orange,6.91,130.15,147,104,4
537,orange,6.91,130.15,152,83,2
538,orange,6.91,130.15,164,85,34
539,orange,6.92,130.19,168,68,2
540,orange,6.92,130.2,158,80,8
541,orange,6.92,130.25,164,85,6
542,orange,6.92,130.26,155,61,2
543,orange,6.92,130.28,152,84,2
544,orange,6.92,130.29,142,82,2
545,orange,6.93,130.39,162,69,7
546,orange,6.93,130.42,138,100,7
547,orange,6.93,130.43,161,79,2
548,orange,6.93,130.45,170,76,9
549,orange,6.93,130.46,165,84,16
550,orange,6.93,130.48,156,94,2
551,orange,6.93,130.49,180,86,5
552,orange,6.93,130.49,155,90,9
553,orange,6.93,130.51,162,82,2
554,orange,6.93,130.52,151,72,13
555,orange,6.93,130.54,153,97,2
556,orange,6.93,130.57,155,97,29
557,orange,6.93,130.6,153,96,2
558,orange,6.94,130.67,141,66,5
559,orange,6.94,130.68,161,90,2
560,orange,6.94,130.71,147,71,2
561,orange,6.94,130.72,139,73,10
562,orange,6.94,130.73,172,89,3
563,orange,6.94,130.73,168,84,9
564,orange,6.95,130.77,162,101,2
565,orange,6.95,130.8,149,76,2
566,orange,6.95,130.81,163,81,2
567,orange,6.95,130.82,168,103,17
568,orange,6.95,130.84,141,96,6
569,orange,6.95,130.84,151,92,13
570,orange,6.95,130.85,156,90,2
571,orange,6.95,130.88,155,78,2
572,orange,6.95,130.9,147,90,16
573,orange,6.95,130.9,157,85,4
574,orange,6.95,130.9,152,71,2
575,orange,6.96,130.9,156,77,15
576,orange,6.96,130.96,151,79,2
577,orange,6.96,130.97,152,85,2
578,orange,6.96,130.99,156,98,9
579,orange,6.97,130.99,163,111,2
580,orange,6.97,131.02,169,83,2
581,orange,6.97,131.02,162,88,2
582,orange,6.97,131.02,138,88,2
583,orange,6.97,131.03,169,59,11
584,orange,6.97,131.04,151,81,6
585,orange,6.98,131.06,170,72,2
586,orange,6.98,131.11,161,79,6
587,orange,6.98,131.11,145,66,15
588,orange,6.98,131.11,161,74,2
589,orange,6.98,131.11,152,89,4
590,orange,6.98,131.13,165,91,2
591,orange,6.98,131.13,153,94,2
592,orange,6.98,131.18,171,84,18
593,orange,6.99,131.19,150,57,2
594,orange,6.99,131.2,153,94,2
595,orange,6.99,131.21,156,76,2
596,orange,6.99,131.21,156,86,2
597,orange,6.99,131.22,141,92,12
598,orange,6.99,131.23,147,98,2
599,orange,6.99,131.25,152,100,12
600,orange,6.99,131.25,157,75,2
601,orange,6.99,131.28,160,81,3
602,orange,6.99,131.32,179,85,2
603,orange,6.99,131.35,157,92,13
604,orange,7,131.35,152,85,2
605,orange,7,131.36,153,65,6
606,orange,7,131.41,164,103,11
607,orange,7,131.44,164,81,2
608,orange,7,131.46,158,91,16
609,orange,7,131.46,157,89,2
610,orange,7,131.5,152,93,2
611,orange,7,131.55,155,77,2
612,orange,7.01,131.55,153,80,6
613,orange,7.01,131.6,145,79,7
614,orange,7.01,131.61,158,87,7
615,orange,7.01,131.62,157,83,10
616,orange,7.01,131.62,153,66,18
617,orange,7.01,131.65,157,72,7
618,orange,7.01,131.66,160,94,14
619,orange,7.01,131.69,159,85,2
620,orange,7.01,131.73,153,75,10
621,orange,7.02,131.75,173,83,11
622,orange,7.02,131.78,148,81,2
623,orange,7.02,131.8,165,76,2
624,orange,7.02,131.81,163,81,2
625,orange,7.02,131.85,147,79,17
626,orange,7.02,131.86,167,71,20
627,orange,7.02,131.86,154,98,12
628,orange,7.02,131.86,160,93,11
629,orange,7.02,131.89,147,86,2
630,orange,7.03,131.9,162,97,19
631,orange,7.03,131.91,153,77,26
632,orange,7.03,131.92,155,81,6
633,orange,7.03,131.93,165,80,15
634,orange,7.03,131.93,159,89,3
635,orange,7.03,131.94,149,99,2
636,orange,7.03,131.94,146,79,4
637,orange,7.03,131.97,134,85,4
638,orange,7.03,131.97,156,93,9
639,orange,7.03,131.97,175,74,10
640,orange,7.03,131.97,160,80,2
641,orange,7.03,131.98,160,90,2
642,orange,7.03,131.99,161,52,9
643,orange,7.03,132.04,153,90,11
644,orange,7.04,132.06,166,96,3
645,orange,7.04,132.06,150,85,27
646,orange,7.04,132.08,166,86,2
647,orange,7.04,132.12,161,73,6
648,orange,7.04,132.14,176,81,6
649,orange,7.05,132.15,166,90,2
650,orange,7.05,132.15,172,64,5
651,orange,7.05,132.17,163,89,14
652,orange,7.05,132.19,157,79,2
653,orange,7.05,132.19,173,84,9
654,orange,7.06,132.19,169,92,2
655,orange,7.06,132.24,158,82,10
656,orange,7.06,132.26,146,85,2
657,orange,7.06,132.3,169,94,2
658,orange,7.06,132.3,158,86,2
659,orange,7.06,132.32,157,101,4
660,orange,7.06,132.34,129,80,6
661,orange,7.07,132.37,180,78,2
662,orange,7.07,132.38,148,74,6
663,orange,7.07,132.41,143,82,2
664,orange,7.07,132.42,167,74,18
665,orange,7.07,132.43,163,62,12
666,orange,7.07,132.44,150,83,2
667,orange,7.07,132.53,169,67,2
668,orange,7.08,132.55,149,78,10
669,orange,7.08,132.58,159,76,2
670,orange,7.08,132.59,154,85,5
671,orange,7.08,132.59,169,95,7
672,orange,7.08,132.6,153,77,2
673,orange,7.08,132.62,145,107,19
674,orange,7.08,132.67,166,60,2
675,orange,7.08,132.68,155,83,2
676,orange,7.08,132.7,152,93,2
677,orange,7.09,132.73,144,76,2
678,orange,7.09,132.73,161,99,2
679,orange,7.09,132.74,162,73,6
680,orange,7.09,132.75,163,78,21
681,orange,7.09,132.76,156,70,12
682,orange,7.09,132.77,168,57,12
683,orange,7.09,132.85,143,76,2
684,orange,7.1,132.86,149,77,2
685,orange,7.1,132.88,165,87,10
686,orange,7.1,132.88,149,84,8
687,orange,7.1,132.88,162,91,13
688,orange,7.1,132.91,159,77,6
689,orange,7.1,132.93,148,67,15
690,orange,7.1,132.94,158,69,2
691,orange,7.1,132.98,163,75,2
692,orange,7.1,132.98,161,64,20
693,orange,7.1,132.99,160,85,29
694,orange,7.1,133,155,76,2
695,orange,7.11,133,144,71,2
696,orange,7.11,133.01,173,57,12
697,orange,7.11,133.02,172,89,2
698,orange,7.11,133.02,143,86,2
699,orange,7.11,133.03,166,73,5
700,orange,7.11,133.03,179,71,2
701,orange,7.11,133.04,162,73,2
702,orange,7.11,133.04,152,84,2
703,orange,7.11,133.05,186,76,4
704,orange,7.11,133.05,141,91,16
705,orange,7.11,133.06,146,65,12
706,orange,7.11,133.07,159,72,16
707,orange,7.12,133.09,153,63,7
708,orange,7.12,133.1,150,90,2
709,orange,7.12,133.12,139,95,2
710,orange,7.12,133.17,157,89,2
711,orange,7.12,133.19,164,92,4
712,orange,7.12,133.19,146,84,15
713,orange,7.12,133.2,175,100,2
714,orange,7.12,133.2,147,82,15
715,orange,7.12,133.21,159,76,5
716,orange,7.13,133.21,156,93,2
717,orange,7.13,133.22,147,98,14
718,orange,7.13,133.24,168,71,2
719,orange,7.13,133.25,140,74,2
720,orange,7.14,133.26,150,74,2
721,orange,7.14,133.27,156,98,11
722,orange,7.14,133.27,138,73,2
723,orange,7.14,133.28,147,83,2
724,orange,7.14,133.28,164,83,14
725,orange,7.14,133.29,178,78,9
726,orange,7.14,133.29,140,67,9
727,orange,7.14,133.3,148,97,2
728,orange,7.15,133.33,147,78,26
729,orange,7.15,133.36,160,86,2
730,orange,7.15,133.37,154,75,3
731,orange,7.15,133.39,155,90,7
732,orange,7.15,133.4,158,69,4
733,orange,7.15,133.4,172,73,18
734,orange,7.15,133.44,155,82,2
735,orange,7.15,133.44,156,77,4
736,orange,7.15,133.45,162,69,2
